MU	495	345
CV	25	140
BW	298	360
SC	473	254
ZA	292	412
NA	257	355
GH	155	188
LS	323	407
TN	217	18
EG	334	70
BJ	175	173
ST	192	234
TZ	359	262
MA	121	35
SN	80	143
ZM	310	313
MW	360	313
DZ	171	63
BF	153	156
UG	347	222
MZ	376	318
ML	153	126
KE	378	227
GM	75	153
RW	333	241
SZ	343	387
GA	231	232
LY	265	65
DJ	405	161
SL	94	181
KM	420	298
MR	102	116
MK	424	345
ET	386	182
TG	169	183
LR	111	196
BI	332	253
CM	232	202
NE	220	128
CG	252	233
NG	204	176
AO	261	302
GN	95	164
GW	77	160
GQ	222	221
CI	128	184
ER	381	138
SD	333	131
CF	281	191
CD	296	245
ZW	332	338
TD	266	139
SO	422	208
